"_mkv_child",description,"rule_name_short","splunk_app","tactic_id","tactic_name",technique,"technique_id","technique_name"
0,"Looks for the same malware occurring multiple times on the same host.","Recurring Infection on Host","Splunk Security Essentials",TA0002,Execution,"TA0002;Execution;User Execution",T1204,"User Execution"
0,"Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.","Unauthorized Connection Through Firewall","Splunk Security Essentials",TA0010,Exfiltration,"TA0010;Exfiltration;Exfiltration Over Command and Control Channel",T1041,"Exfiltration Over Command and Control Channel"
0,"Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.","Unauthorized Connection Through Firewall","Splunk Security Essentials",TA0010,Exfiltration,"TA0010;Exfiltration;Exfiltration Over Alternative Protocol",T1048,"Exfiltration Over Alternative Protocol"
0,"Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.","Unauthorized Connection Through Firewall","Splunk Security Essentials",TA0011,"Command and Control","TA0011;Command and Control;Custom Command and Control Protocol",T1094,"Custom Command and Control Protocol"
0,"Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.","Unauthorized Connection Through Firewall","Splunk Security Essentials",TA0011,"Command and Control","TA0011;Command and Control;Standard Cryptographic Protocol",T1032,"Standard Cryptographic Protocol"
0,"Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.","Unauthorized Connection Through Firewall","Splunk Security Essentials",TA0011,"Command and Control","TA0011;Command and Control;Standard Non-Application Layer Protocol",T1095,"Standard Non-Application Layer Protocol"
0,"Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.","Unauthorized Connection Through Firewall","Splunk Security Essentials",TA0007,Discovery,"TA0007;Discovery;Network Service Scanning",T1046,"Network Service Scanning"
0,"Detect a system with a malware detection that was not properly cleaned, as they carry a high risk of damage or disclosure of data.","Endpoint Uncleaned Malware Detection","Splunk Security Essentials",TA0002,Execution,"TA0002;Execution;User Execution",T1204,"User Execution"
0,"Detect a system with a malware detection that was not properly cleaned, as they carry a high risk of damage or disclosure of data.","Endpoint Uncleaned Malware Detection","Splunk Security Essentials",TA0001,"Initial Access","TA0001;Initial Access;Drive-by Compromise",T1189,"Drive-by Compromise"
0,"Detect a system with a malware detection that was not properly cleaned, as they carry a high risk of damage or disclosure of data.","Endpoint Uncleaned Malware Detection","Splunk Security Essentials",TA0001,"Initial Access","TA0001;Initial Access;Spearphishing Attachment",T1193,"Spearphishing Attachment"
0,"Detect a system with a malware detection that was not properly cleaned, as they carry a high risk of damage or disclosure of data.","Endpoint Uncleaned Malware Detection","Splunk Security Essentials",TA0001,"Initial Access","TA0001;Initial Access;Spearphishing Link",T1192,"Spearphishing Link"
0,"The GDPR requires that only authorized individuals access personal data. Alert when the account of a past employee is used to log into GDPR-tagged systems","Activity from Expired User Identity - on Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"The GDPR requires that only authorized individuals access personal data. Alert when the account of a past employee is used to log into GDPR-tagged systems","Activity from Expired User Identity - on Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"The GDPR requires that only authorized individuals access personal data. Alert when the account of a past employee is used to log into GDPR-tagged systems","Activity from Expired User Identity - on Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"The GDPR requires that only authorized individuals access personal data. Alert when the account of a past employee is used to log into GDPR-tagged systems","Activity from Expired User Identity - on Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Monitor your security controls and prove your GDPR compliance by detecting brute force (or password guessing) attacks on GDPR-tagged systems.","Brute Force Access Behavior Detected - Against Category","Splunk Security Essentials",TA0006,"Credential Access","TA0006;Credential Access;Brute Force",T1110,"Brute Force"
0,"Monitor your security controls and prove your GDPR compliance by detecting brute force (or password guessing) attacks on GDPR-tagged systems.","Brute Force Access Behavior Detected - Against Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Monitor your security controls and prove your GDPR compliance by detecting brute force (or password guessing) attacks on GDPR-tagged systems.","Brute Force Access Behavior Detected - Against Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Monitor your security controls and prove your GDPR compliance by detecting brute force (or password guessing) attacks on GDPR-tagged systems.","Brute Force Access Behavior Detected - Against Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Monitor your security controls and prove your GDPR compliance by detecting brute force (or password guessing) attacks on GDPR-tagged systems.","Brute Force Access Behavior Detected - Against Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Monitor your security controls and prove your GDPR compliance by detecting slow and low brute force (or password guessing) attacks on GDPR-tagged systems that occur gradually over the day.","Brute Force Access Behavior Detected Over One Day - Against Category","Splunk Security Essentials",TA0006,"Credential Access","TA0006;Credential Access;Brute Force",T1110,"Brute Force"
0,"Monitor your security controls and prove your GDPR compliance by detecting slow and low brute force (or password guessing) attacks on GDPR-tagged systems that occur gradually over the day.","Brute Force Access Behavior Detected Over One Day - Against Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Monitor your security controls and prove your GDPR compliance by detecting slow and low brute force (or password guessing) attacks on GDPR-tagged systems that occur gradually over the day.","Brute Force Access Behavior Detected Over One Day - Against Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Monitor your security controls and prove your GDPR compliance by detecting slow and low brute force (or password guessing) attacks on GDPR-tagged systems that occur gradually over the day.","Brute Force Access Behavior Detected Over One Day - Against Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Monitor your security controls and prove your GDPR compliance by detecting slow and low brute force (or password guessing) attacks on GDPR-tagged systems that occur gradually over the day.","Brute Force Access Behavior Detected Over One Day - Against Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"To ensure you have a GDPR-mandated audit trail with individual accounts for each person, detect when the same account is logged into twice in a short period of time but from locations very far away, to a GDPR-tagged system.","Geographically Improbable Access Detected against Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"To ensure you have a GDPR-mandated audit trail with individual accounts for each person, detect when the same account is logged into twice in a short period of time but from locations very far away, to a GDPR-tagged system.","Geographically Improbable Access Detected against Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"To ensure you have a GDPR-mandated audit trail with individual accounts for each person, detect when the same account is logged into twice in a short period of time but from locations very far away, to a GDPR-tagged system.","Geographically Improbable Access Detected against Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"To ensure you have a GDPR-mandated audit trail with individual accounts for each person, detect when the same account is logged into twice in a short period of time but from locations very far away, to a GDPR-tagged system.","Geographically Improbable Access Detected against Category","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Any GDPR-tagged systems not receiving updates could jeopardize your GDPR status due to Article 32. Detect systems where the Windows Update service is disabled.","In-Scope System with Windows Update Disabled","Splunk Security Essentials",TA0005,"Defense Evasion","TA0005;Defense Evasion;Disabling Security Tools",T1089,"Disabling Security Tools"
0,"Looks for activity in IaaS Regions that have not been used before across the organization.","Unusual Cloud Regions","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Looks for activity in IaaS Regions that have not been used before across the organization.","Unusual Cloud Regions","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Looks for activity in IaaS Regions that have not been used before across the organization.","Unusual Cloud Regions","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Looks for activity in IaaS Regions that have not been used before across the organization.","Unusual Cloud Regions","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Splunk can detect the status of services, allowing us to find hosts where the Windows Update service is disabled.","Disabled Update Service","Splunk Security Essentials",TA0005,"Defense Evasion","TA0005;Defense Evasion;Disabling Security Tools",T1089,"Disabling Security Tools"
0,"Detects an abnormally high number of endpoint changes by user account, as they relate to restarts, audits, filesystem, user, and registry modifications.","Abnormally High Number of Endpoint Changes By User","Splunk App for Enterprise Security",TA0003,Persistence,"TA0003;Persistence;Modify Existing Service",T1031,"Modify Existing Service"
0,"Detects an abnormally high number of endpoint changes by user account, as they relate to restarts, audits, filesystem, user, and registry modifications.","Abnormally High Number of Endpoint Changes By User","Splunk App for Enterprise Security",TA0005,"Defense Evasion","TA0005;Defense Evasion;Modify Registry",T1112,"Modify Registry"
0,"Detects an abnormally high number of endpoint changes by user account, as they relate to restarts, audits, filesystem, user, and registry modifications.","Abnormally High Number of Endpoint Changes By User","Splunk App for Enterprise Security",TA0005,"Defense Evasion","TA0005;Defense Evasion;File and Directory Permissions Modification",T1222,"File and Directory Permissions Modification"
0,"Alerts when a host has an abnormally high number of HTTP requests by http method.","Abnormally High Number of HTTP Method Events By Src","Splunk App for Enterprise Security",TA0001,"Initial Access","TA0001;Initial Access;Exploit Public-Facing Application",T1190,"Exploit Public-Facing Application"
0,"Alerts when a host has an abnormally high number of HTTP requests by http method.","Abnormally High Number of HTTP Method Events By Src","Splunk App for Enterprise Security",TA0006,"Credential Access","TA0006;Credential Access;Brute Force",T1110,"Brute Force"
0,"Detects user and computer account deletion","Account Deleted","Splunk App for Enterprise Security",TA0005,"Defense Evasion","TA0005;Defense Evasion;Indicator Removal on Host",T1070,"Indicator Removal on Host"
0,"Alerts when an event is discovered from a user associated with identity that is now expired (that is, the end date of the identity has been passed).","Activity from Expired User Identity","Splunk App for Enterprise Security","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Alerts when an event is discovered from a user associated with identity that is now expired (that is, the end date of the identity has been passed).","Activity from Expired User Identity","Splunk App for Enterprise Security","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Alerts when an event is discovered from a user associated with identity that is now expired (that is, the end date of the identity has been passed).","Activity from Expired User Identity","Splunk App for Enterprise Security","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Alerts when an event is discovered from a user associated with identity that is now expired (that is, the end date of the identity has been passed).","Activity from Expired User Identity","Splunk App for Enterprise Security","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Detect low and slow activities and complex insider threat patterns by finding users with concentrations of risky activities.","Aggregate Risky Events","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Detect low and slow activities and complex insider threat patterns by finding users with concentrations of risky activities.","Aggregate Risky Events","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Detect low and slow activities and complex insider threat patterns by finding users with concentrations of risky activities.","Aggregate Risky Events","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Detect low and slow activities and complex insider threat patterns by finding users with concentrations of risky activities.","Aggregate Risky Events","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Detect low and slow activities and complex insider threat patterns by finding users with concentrations of risky activities.","Aggregate Risky Events","Splunk Security Essentials",TA0008,"Lateral Movement","TA0008;Lateral Movement;Remote Desktop Protocol",T1076,"Remote Desktop Protocol"
0,"Detect low and slow activities and complex insider threat patterns by finding users with concentrations of risky activities.","Aggregate Risky Events","Splunk Security Essentials","TA0002
TA0008","Execution
Lateral Movement","TA0002;Execution;Windows Remote Management",T1028,"Windows Remote Management
Windows Remote Management"
1,"Detect low and slow activities and complex insider threat patterns by finding users with concentrations of risky activities.","Aggregate Risky Events","Splunk Security Essentials","TA0002
TA0008","Execution
Lateral Movement","TA0008;Lateral Movement;Windows Remote Management",T1028,"Windows Remote Management
Windows Remote Management"
0,"Discovers anomalous activity such as the deletion of or clearing of log files. Attackers oftentimes clear the log files in order to hide their actions, therefore, this may indicate that the system has been compromised.","Anomalous Audit Trail Activity Detected","Splunk App for Enterprise Security",TA0005,"Defense Evasion","TA0005;Defense Evasion;Indicator Removal on Host",T1070,"Indicator Removal on Host"
0,"Discovers anomalous activity such as the deletion of or clearing of log files. Attackers oftentimes clear the log files in order to hide their actions, therefore, this may indicate that the system has been compromised.","Anomalous Audit Trail Activity Detected","Splunk App for Enterprise Security",TA0005,"Defense Evasion","TA0005;Defense Evasion;Clear Command History",T1146,"Clear Command History"
0,"Discovers anomalous activity such as the deletion of or clearing of log files. Attackers oftentimes clear the log files in order to hide their actions, therefore, this may indicate that the system has been compromised.","Anomalous Audit Trail Activity Detected","Splunk App for Enterprise Security",TA0005,"Defense Evasion","TA0005;Defense Evasion;File Deletion",T1107,"File Deletion"
0,"Alerts a series of hosts begin listening on a new port within 24 hours. This may be an indication that the devices have been compromised or have had new (and potentially vulnerable) software installed.","Anomalous New Listening Port","Splunk App for Enterprise Security",TA0011,"Command and Control","TA0011;Command and Control;Uncommonly Used Port",T1065,"Uncommonly Used Port"
0,"Alerts a series of hosts begin listening on a new port within 24 hours. This may be an indication that the devices have been compromised or have had new (and potentially vulnerable) software installed.","Anomalous New Listening Port","Splunk App for Enterprise Security",TA0011,"Command and Control","TA0011;Command and Control;Commonly Used Port",T1043,"Commonly Used Port"
0,"Alerts when an anomalous number hosts are detected with a new process.","Anomalous New Process","Splunk App for Enterprise Security",TA0002,Execution,"TA0002;Execution;Service Execution",T1035,"Service Execution"
0,"Alerts when an anomalous number hosts are detected with a new process.","Anomalous New Process","Splunk App for Enterprise Security",,,"",TA0002,
0,"Alerts when an anomalous number hosts are detected with a new service.","Anomalous New Service","Splunk App for Enterprise Security","TA0003
TA0004","Persistence
Privilege Escalation","TA0003;Persistence;New Service",T1050,"New Service
New Service"
1,"Alerts when an anomalous number hosts are detected with a new service.","Anomalous New Service","Splunk App for Enterprise Security","TA0003
TA0004","Persistence
Privilege Escalation","TA0004;Privilege Escalation;New Service",T1050,"New Service
New Service"
0,"Uses a simple threshold for Windows Security Logs to alert if there are a large number of failed logins, and at least one successful login from the same source.","Basic Brute Force Detection","Splunk Security Essentials",TA0006,"Credential Access","TA0006;Credential Access;Brute Force",T1110,"Brute Force"
0,"Follow your GDPR requirement and action your data mapping exercise by tracking employee/vendor/supplier access to systems, to ensure that they are authorized to view the data present on any systems they log into.","User Logged into In-Scope System They Should Not Have","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Follow your GDPR requirement and action your data mapping exercise by tracking employee/vendor/supplier access to systems, to ensure that they are authorized to view the data present on any systems they log into.","User Logged into In-Scope System They Should Not Have","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Follow your GDPR requirement and action your data mapping exercise by tracking employee/vendor/supplier access to systems, to ensure that they are authorized to view the data present on any systems they log into.","User Logged into In-Scope System They Should Not Have","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Follow your GDPR requirement and action your data mapping exercise by tracking employee/vendor/supplier access to systems, to ensure that they are authorized to view the data present on any systems they log into.","User Logged into In-Scope System They Should Not Have","Splunk Security Essentials","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Follow your GDPR requirement and action your data mapping exercise by tracking employee/vendor/supplier access to systems, to ensure that they are authorized to view the data present on any systems they log into.","User Logged into In-Scope System They Should Not Have","Splunk Security Essentials",TA0009,Collection,"TA0009;Collection;Data from Information Repositories",T1213,"Data from Information Repositories"
0,"Follow your GDPR requirement and action your data mapping exercise by tracking employee/vendor/supplier access to systems, to ensure that they are authorized to view the data present on any systems they log into.","User Logged into In-Scope System They Should Not Have","Splunk Security Essentials","TA0003
TA0006","Persistence
Credential Access","TA0003;Persistence;Account Manipulation",T1098,"Account Manipulation
Account Manipulation"
1,"Follow your GDPR requirement and action your data mapping exercise by tracking employee/vendor/supplier access to systems, to ensure that they are authorized to view the data present on any systems they log into.","User Logged into In-Scope System They Should Not Have","Splunk Security Essentials","TA0003
TA0006","Persistence
Credential Access","TA0006;Credential Access;Account Manipulation",T1098,"Account Manipulation
Account Manipulation"
0,"Detects excessive number of failed login attempts along with a successful attempt (this could indicate a successful brute force attack)","Brute Force Access Behavior Detected","Splunk App for Enterprise Security",TA0006,"Credential Access","TA0006;Credential Access;Brute Force",T1110,"Brute Force"
0,"Detects an excessive number of failed login attempts, along with a successful attempt, over a one day period (this could indicate a successful brute force attack)","Brute Force Access Behavior Detected Over One Day","Splunk App for Enterprise Security",TA0006,"Credential Access","TA0006;Credential Access;Brute Force",T1110,"Brute Force"
0,"<p>Find users trying to collect and analyze internal projects from across multiple departments by analyzing their search logs on company wiki software.</p>","User Finding Project Code Names from Many Departments","Splunk Security Essentials",TA0009,Collection,"TA0009;Collection;Data from Information Repositories",T1213,"Data from Information Repositories"
0,"Discovers accounts that are no longer used. Unused accounts should be disabled and are oftentimes used by attackers to gain unauthorized access.","Completely Inactive Account","Splunk App for Enterprise Security","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Discovers accounts that are no longer used. Unused accounts should be disabled and are oftentimes used by attackers to gain unauthorized access.","Completely Inactive Account","Splunk App for Enterprise Security","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Discovers accounts that are no longer used. Unused accounts should be disabled and are oftentimes used by attackers to gain unauthorized access.","Completely Inactive Account","Splunk App for Enterprise Security","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Discovers accounts that are no longer used. Unused accounts should be disabled and are oftentimes used by attackers to gain unauthorized access.","Completely Inactive Account","Splunk App for Enterprise Security","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Alerts on concurrent access attempts to an app from different hosts. These are good indicators of shared passwords and potential misuse.","Concurrent Login Attempts Detected","Splunk App for Enterprise Security","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Alerts on concurrent access attempts to an app from different hosts. These are good indicators of shared passwords and potential misuse.","Concurrent Login Attempts Detected","Splunk App for Enterprise Security","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Alerts on concurrent access attempts to an app from different hosts. These are good indicators of shared passwords and potential misuse.","Concurrent Login Attempts Detected","Splunk App for Enterprise Security","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Alerts on concurrent access attempts to an app from different hosts. These are good indicators of shared passwords and potential misuse.","Concurrent Login Attempts Detected","Splunk App for Enterprise Security","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Discovers use of default accounts (such as admin, administrator, etc.). Default accounts have default passwords and are therefore commonly targeted by attackers using brute force attack tools.","Default Account Activity Detected","Splunk App for Enterprise Security",TA0006,"Credential Access","TA0006;Credential Access;Brute Force",T1110,"Brute Force"
0,"Detect memory dumping of the LSASS process.","Access LSASS Memory for Dump Creation","Enterprise Security Content Update",TA0006,"Credential Access","TA0006;Credential Access;Credential Dumping",T1003,"Credential Dumping"
0,"This search is used to identify the creation of multiple user accounts using the same email domain name.","Web Fraud - Account Harvesting","Enterprise Security Content Update",TA0003,Persistence,"TA0003;Persistence;Create Account",T1136,"Create Account"
0,"This search looks for specific authentication events from the Windows Security Event logs to detect potential attempts at using the Pass-the-Hash technique.","Detect Activity Related to Pass the Hash Attacks","Enterprise Security Content Update",TA0008,"Lateral Movement","TA0008;Lateral Movement;Pass the Hash",T1075,"Pass the Hash"
0,"Attempt to add a certificate to the untrusted certificate store","Attempt To Add Certificate To Untrusted Store","Enterprise Security Content Update",TA0005,"Defense Evasion","TA0005;Defense Evasion;Disabling Security Tools",T1089,"Disabling Security Tools"
0,"This search is used to examine web sessions to identify those where the clicks are occurring too quickly for a human or are occurring with a near-perfect cadence (high periodicity or low standard deviation), resembling a script driven session.","Web Fraud - Anomalous User Clickspeed","Enterprise Security Content Update","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"This search is used to examine web sessions to identify those where the clicks are occurring too quickly for a human or are occurring with a near-perfect cadence (high periodicity or low standard deviation), resembling a script driven session.","Web Fraud - Anomalous User Clickspeed","Enterprise Security Content Update","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"This search is used to examine web sessions to identify those where the clicks are occurring too quickly for a human or are occurring with a near-perfect cadence (high periodicity or low standard deviation), resembling a script driven session.","Web Fraud - Anomalous User Clickspeed","Enterprise Security Content Update","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"This search is used to examine web sessions to identify those where the clicks are occurring too quickly for a human or are occurring with a near-perfect cadence (high periodicity or low standard deviation), resembling a script driven session.","Web Fraud - Anomalous User Clickspeed","Enterprise Security Content Update","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
